Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 10:00 AM,2016,06,23,10,81,2,26.3,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 11:00 AM,2016,06,23,11,68,2,20.0,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 12:00 PM,2016,06,23,12,68,2,20.0,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 01:00 PM,2016,06,23,13,69,2,20.5,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 02:00 PM,2016,06,23,14,72,2,22.2,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 03:00 PM,2016,06,23,15,74,2,23.2,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 04:00 PM,2016,06,23,16,77,2,24.5,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 05:00 PM,2016,06,23,17,80,2,26.0,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 06:00 PM,2016,06,23,18,83,2,27.5,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 07:00 PM,2016,06,23,19,88,2,29.5,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 08:00 PM,2016,06,23,20,93,2,32.2,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 09:00 PM,2016,06,23,21,101,3,35.5,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 10:00 PM,2016,06,23,22,106,3,37.5,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 11:00 PM,2016,06,23,23,108,3,38.3,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 12:00 AM,2016,06,24,00,109,3,38.6,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 01:00 AM,2016,06,24,01,109,3,38.6,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 02:00 AM,2016,06,24,02,110,3,39.2,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 03:00 AM,2016,06,24,03,113,3,40.5,48.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 04:00 AM,2016,06,24,04,115,3,41.2,58.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 05:00 AM,2016,06,24,05,117,3,42.2,57.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 06:00 AM,2016,06,24,06,121,3,43.7,74.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 07:00 AM,2016,06,24,07,126,3,45.7,94.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 08:00 AM,2016,06,24,08,134,3,48.8,107.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 09:00 AM,2016,06,24,09,140,3,51.4,79.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 10:00 AM,2016,06,24,10,146,3,53.6,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 11:00 AM,2016,06,24,11,151,4,55.6,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 12:00 PM,2016,06,24,12,152,4,57.3,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 01:00 PM,2016,06,24,13,153,4,59.9,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 02:00 PM,2016,06,24,14,154,4,62.2,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 03:00 PM,2016,06,24,15,155,4,63.6,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 04:00 PM,2016,06,24,16,156,4,64.7,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 05:00 PM,2016,06,24,17,156,4,65.2,55.0,UG/M3,1 Hr,Valid
